"State","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"ANDAMAN & NICOBAR","0","497","2372","0","299","2570","1","578","2290","3","218","2648","221","2648","414","2455","0"
"ANDHRA PRADESH","7170","91298","300076","203014","134385","61324","234299","123669","40193","64005","92712","241389","19386","378276","3334","368612","25219"
"ARUNACHAL PRADESH","10816","50344","8346","14689","47564","5682","10405","45914","12198","24567","32708","12098","2349","66419","34823","34219","94"
"ASSAM","257157","331464","12939","372949","153234","75371","47791","298103","255472","306322","100325","194913","703","600852","221244","380312","4"
"BIHAR","3826","150747","253591","307376","83058","17706","86475","295272","26348","55510","210837","141727","4571","403635","12131","392083","4368"
"CHHATTISGARH","313","40459","134192","15438","118173","41439","79542","88341","7249","20618","63605","90593","710","173977","20818","153278","448"
"DELHI","2","2","27","10","4","15","7","4","17","25","6","1","19","13","16","13","6"
"GOA","963","2710","961","865","781","2404","1398","1766","1492","3803","151","670","303","4308","3029","1559","1"
"GUJARAT","625","79531","369635","303861","108618","37347","267925","157012","24964","124529","165936","159234","66920","382599","1768","439081","8396"
"HARYANA","0","0","0","293043","176300","48896","153098","225251","139890","26523","94917","396785","46344","471886","180","499289","18764"
"HIMACHAL PRADESH","855","29824","37283","21218","43577","9365","30018","36056","8098","54074","14245","5624","367","67780","700","72616","56"
"JAMMU & KASHMIR","13870","49513","19835","41716","38947","2669","19464","58391","5523","49068","21805","12207","3924","78708","1934","79473","900"
"JHARKHAND","1110","113835","90787","50226","134548","20981","17730","164075","24102","33565","102695","69146","1221","203853","79580","124391","482"
"KARNATAKA","18742","132371","241875","223778","140936","28275","158398","185027","49566","84560","131861","176546","33906","359070","22127","358670","12189"
"KERALA","2","53","5069","65039","14659","8936","25561","37820","25208","56066","16683","15773","751","87637","28336","60022","91"
"LADAKH","0","0","0","48","48","42","84","30","24","76","34","28","7","131","0","131","7"
"MADHYA PRADESH","4201","240759","534504","204043","503004","75247","305780","453010","28902","231004","304904","247550","50564","733430","11512","763707","5336"
"MAHARASHTRA","3589","42266","334304","87803","203974","90157","255197","111529","14467","66555","95721","219326","3125","378339","8980","363642","8566"
"MANIPUR","0","25","311","19","293","13","1","23","313","5","300","29","225","107","78","164","44"
"MEGHALAYA","200","7062","7955","2284","5538","7403","2213","9484","3536","12025","2545","626","7","15176","7285","7867","3"
"MIZORAM","29","1557","6930","967","6584","985","1624","2658","4260","7335","552","567","2004","821","4040","4240","3"
"NAGALAND","15088","61706","33371","29121","45910","35134","22071","60315","27777","70311","23278","16565","2208","107940","82427","27664","53"
"ODISHA","9151","116371","281176","123045","182970","100699","88681","249293","68744","59381","142505","204790","3207","402571","123140","283146","425"
"PUDUCHERRY","0","0","2758","1807","820","131","785","1260","713","497","320","183","311","2447","64","2584","109"
"PUNJAB","0","0","3868","10916","7375","8290","5627","6939","13398","7073","19036","16517","4757","38155","1035","37637","4255"
"RAJASTHAN","52","118","18000","228372","90005","13164","169536","151293","9751","10999","45144","275255","21218","310041","102","290589","40227"
"SIKKIM","2071","38310","18771","42976","15198","1071","17848","36928","4545","34964","15232","8780","1062","57556","26612","31292","56"
"TAMIL NADU","198","2145","394682","141478","171983","83698","182562","170828","43897","10641","38023","347968","8288","387996","9233","368730","17631"
"TELANGANA","1542","12237","43459","49241","5461","2523","26366","18982","11911","8750","14224","34304","251","57081","505","53174","3639"
"TRIPURA","8","8422","9570","5800","12147","92","9","17081","965","9547","5836","2566","89","17768","15257","2386","17"
"UTTAR PRADESH","1074","15346","809529","126332","509497","190098","88022","662014","75911","11953","97431","716634","10721","814637","772","812376","10938"
"UTTARAKHAND","116","3910","39391","34717","38057","15995","21831","48107","18673","46234","24290","18166","7877","80682","2620","85676","60"
"WEST BENGAL","4085","98071","88019","140555","36972","12696","62535","100750","26958","57754","81566","50764","6766","183145","51390","138148","173"